strain,strategy,flip_size,seed,gene_idx,gene_name,category,orig_presence,new_presence,logit_prob_var1,logit_prob_var10,logit_prob_var100,suspect_var1,suspect_var10,suspect_var100,z_score_var1,z_score_var10,z_score_var100,consistent_across_variations,only_suspect_at_100,suspect_at_all
10465,core_targeted,20,42,174,"FEOBHI_09895 Ribosome-associated protein YbcJ, S4-like RNA-binding protein",core,1,0,10.449295,8.146655,5.873076,False,False,False,0.27114910374492673,0.18716662128872857,0.1693339839131754,True,False,False
10465,core_targeted,20,42,436,FEOBHI_02975 50S ribosomal protein L14,core,1,0,11.206173,8.906101,6.522994,False,False,False,0.39288550364782504,0.3342989902235648,0.3335104911929594,True,False,False
10465,core_targeted,20,42,480,"FEOBHI_13090 5S rRNA maturation ribonuclease M5, contains TOPRIM domain",core,1,0,11.511559,9.241557,6.820004,False,False,False,0.4420038453366395,0.3992890434378876,0.4085385169241574,True,False,False
10465,core_targeted,20,42,505,FEOBHI_05900 cell division protein FtsL,core,1,0,11.511559,9.213656,7.050488,False,False,False,0.4420038453366395,0.3938836028592937,0.46676133596267255,True,False,False
10465,core_targeted,20,42,574,FEOBHI_00750 antiholin-like murein hydrolase modulator LrgA,core,1,0,11.511559,9.869288,7.489172,False,False,False,0.4420038453366395,0.5209034163937445,0.5775777880682073,True,False,False
10465,core_targeted,20,42,674,FEOBHI_06645 Cys-tRNA(Pro) deacylase,core,1,0,11.05202,8.747039,6.380753,False,False,False,0.3680915061287647,0.3034828836570505,0.2975788343193482,True,False,False
10465,core_targeted,20,42,1019,FEOBHI_03865 tRNA A22 N1-methylase,core,1,0,6.809986,4.475809,1.302381,False,False,False,-0.31419804043711647,-0.5240100363998615,-0.98527435274033,True,False,False
10465,core_targeted,20,42,1210,FEOBHI_10020 RNA polymerase sigma factor SigB,core,1,0,11.511559,10.034258,7.648609,False,False,False,0.4420038453366395,0.5528641178829617,0.6178533455864895,True,False,False
10465,core_targeted,20,42,1214,FEOBHI_03535 tRNA A37 threonylcarbamoyladenosine dehydratase,core,1,0,11.511559,9.255181,6.720295,False,False,False,0.4420038453366395,0.4019285087775803,0.38335091577392,True,False,False
10465,core_targeted,20,42,1257,FEOBHI_03080 tRNA pseudouridine(38-40) synthase TruA,core,1,0,11.511559,9.921312,7.554435,False,False,False,0.4420038453366395,0.5309823612581143,0.5940639469291721,True,False,False
10465,core_targeted,20,42,1349,"FEOBHI_08050 Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific",core,1,0,11.511559,10.081557,7.625597,False,False,False,0.4420038453366395,0.5620276580401933,0.6120402587270358,True,False,False
