gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
4657	FDGJKG_07910 Maebl	other	1773	333	87021	3.9267189407348626	331	18	2	87003	0.993993993993994	0.9997931533767711	0.0002068466232288758	799944.25	5.903059721040645
1959	FEOBHI_03875 DEAD-box ATP-dependent RNA helicase CshB	other	1593	276	87078	4.772509956359863	275	30	1	87048	0.9963768115942029	0.9996554812926342	0.00034451870736580995	797940.0	5.901970236402641
2233	FEOBHI_07795 cytochrome aa3 quinol oxidase subunit I	other	1737	330	87024	5.116429233551023	329	36	1	86988	0.996969696969697	0.9995863210148924	0.0004136789851075565	794973.6666666666	5.900352742982546
5335	PCLKBG_07330 Abi-like family protein	other	1623	357	86997	5.233217887878418	356	39	1	86958	0.9971988795518207	0.9995517086796096	0.0004482913203903583	793770.4615384615	5.8996949335362014
1618	FEOBHI_06265 DUF4064 domain-containing protein	other	1728	363	86991	3.593417630195618	362	40	1	86951	0.9972451790633609	0.999540182317711	0.0004598176822889724	786906.55	5.895923160276362
890	FEOBHI_07800 cytochrome aa3 quinol oxidase subunit III	other	1683	327	87027	3.5550114107131963	325	18	2	87009	0.9938837920489296	0.9997931676376297	0.00020683236237029886	785497.9166666666	5.895145037521924
1542	FEOBHI_03385 porphobilinogen synthase	other	1617	324	87030	3.8194016838073725	323	36	1	86994	0.9969135802469136	0.9995863495346432	0.0004136504653567735	780529.5	5.892389321806002
1259	FEOBHI_07870 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	other	1752	324	87030	3.5187249207496643	322	18	2	87012	0.9938271604938271	0.9997931747673217	0.00020682523267838676	778274.0	5.891132522103481
450	FEOBHI_08365 Acyl-CoA thioesterase PaaI, contains HGG motif	other	1701	318	87036	4.567331790924072	317	36	1	87000	0.9968553459119497	0.9995863780504619	0.00041362194953812215	766083.3333333334	5.884276014069083
2412	FEOBHI_06565 Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	other	1650	264	87090	3.5580080914497376	262	15	2	87075	0.9924242424242424	0.9998277643816741	0.0001722356183258698	760455.0	5.881073519730357
5440	JNPAEA_12950 phage/plasmid primase, P4 family	phage	1782	315	87039	3.4907908153533938	314	36	1	87003	0.9968253968253968	0.9995863923068969	0.0004136076931030917	758859.5	5.88016137533814
1238	FEOBHI_11755 Thiamine kinase or a related kinase	other	1746	312	87042	3.3936848998069755	311	36	1	87006	0.9967948717948718	0.9995864065623492	0.0004135934376507893	751635.1666666666	5.876007091188991
4968	OJEMIL_01960 hypothetical protein	other	1626	312	87042	4.66821563243866	311	36	1	87006	0.9967948717948718	0.9995864065623492	0.0004135934376507893	751635.1666666666	5.876007091188991
5370	PCLKBG_07505 Mannitol-specific phosphotransferase enzyme IIA component	other	1758	312	87042	4.791267805099488	309	12	3	87030	0.9903846153846154	0.9998621355207831	0.00013786447921692975	747007.5	5.873324962179874
2714	ELEGCC_03295 Tat-translocated enzyme	other	1587	291	87063	5.301852569580077	290	34	1	87029	0.9965635738831615	0.9996094781939515	0.00039052180604849364	742306.1764705882	5.87058307418051
5063	BNOEEK_03405 Inactivated superfamily I helicase	other	1566	327	87027	5.105858111381528	324	13	3	87014	0.9908256880733946	0.9998506210716215	0.0001493789283785492	722885.5384615385	5.859069536644638
2205	FEOBHI_09530 amidase domain-containing protein	other	1734	297	87057	5.108698635101322	296	36	1	87021	0.9966329966329966	0.9995864778248733	0.00041352217512664115	715506.0	5.854613279962973
2361	FEOBHI_08350 Na+/H+ antiporter Mnh1 subunit F	other	1599	291	87063	3.1064567470550535	289	18	2	87045	0.993127147766323	0.9997932531615037	0.00020674683849626133	698777.9166666666	5.844339171609472
4914	HFCIMO_02920 hypothetical protein	other	1719	288	87066	3.9311616992950436	286	18	2	87048	0.9930555555555556	0.9997932602853008	0.0002067397146991937	691548.0	5.839822329653796
2098	FEOBHI_00085 glutamine-hydrolyzing GMP synthase	other	1653	288	87066	4.350774669647217	286	18	2	87048	0.9930555555555556	0.9997932602853008	0.0002067397146991937	691548.0	5.839822329653796
2581	FEOBHI_03615 23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family	core	1671	306	87048	3.7040549516677856	305	39	1	87009	0.9967320261437909	0.9995519713261649	0.00044802867383512545	680455.0	5.832799409630623
2366	FEOBHI_11690 Cyclic di-AMP receptor DarA/PstA	other	1638	282	87072	4.9115808629989575	281	36	1	87036	0.9964539007092199	0.9995865490628445	0.00041345093715545756	679364.3333333334	5.832102742647164
