gene_idx	gene_name	category	n_train_flipped	cutoff_99th
118	FEOBHI_12350 Undecaprenyl-diphosphatase	other	1650	5.541491675376892
119	FEOBHI_13155 Pathogenicity island protein	other	1572	8.474285011291503
120	FEOBHI_13205 Phage protein	phage	1665	5.325031356811523
121	FEOBHI_02240 DUF2268 domain-containing protein	other	1707	5.236879663467408
122	FEOBHI_04350 DUF1381 domain-containing protein	other	1764	7.752141723632797
123	FEOBHI_04380 hypothetical protein	other	1641	7.874327659606932
124	FEOBHI_04560 Relaxase	other	1626	6.459825277328491
125	FEOBHI_05240 XRE family transcriptional regulator	other	1557	8.581673202514676
126	FEOBHI_08640 UPF0435 protein SAB1812c	other	1797	5.698480644226072
127	FEOBHI_09090 DUF1381 domain-containing protein	other	1737	8.653664169311519
128	FEOBHI_10855 copper chaperone CopZ	other	1656	5.067672967910767
129	FEOBHI_13180 Pathogenicity island protein	other	1779	9.408262519836427
130	FEOBHI_02965 50S ribosomal protein L29	core	1734	3.5663239622116087
131	FEOBHI_10125 HMA domain-containing protein	other	1605	6.23454860687256
132	FEOBHI_10235 F0F1 ATP synthase subunit C	core	1695	3.432607164382934
133	FEOBHI_10610 YozE-SAM-like domain-containing protein	other	1782	6.007409400939943
134	FEOBHI_00295 Twin-arginine protein secretion pathway components TatA and TatB	other	1650	6.407312645912169
135	FEOBHI_04270 FlgM domain-containing protein	other	1731	8.208453941345216
136	FEOBHI_05360 HEPN domain-containing protein	other	1662	5.1546036481857245
137	FEOBHI_07895 Uncharacterized membrane protein YozV, TM2 domain, contains pTyr	other	1533	5.863237686157236
138	FEOBHI_09210 DUF2829 domain-containing protein	other	1617	8.911639480590818
139	FEOBHI_03035 translation initiation factor IF-1	other	1557	2.2588521862030033
140	FEOBHI_04000 Exported protein	other	1692	6.670302729606625
141	FEOBHI_05750 DNA-directed RNA polymerase subunit omega	core	1740	6.489677543640127
142	FEOBHI_06330 DNA-directed RNA polymerase subunit epsilon	core	1578	4.497075266838074
143	FEOBHI_07960 IDEAL domain-containing protein	other	1692	5.5624036407470685
144	FEOBHI_09135 Phage protein	phage	1698	8.31728199958801
145	FEOBHI_11430 Pirin-C-2 domain-containing protein	other	1668	6.838596940040579
